run_id,hour
L3,13
L3,14
L3,17
L3,3
L3,4
L3,5
L3,6
L3,7
L3,8
L3,9
L3,10
L3,11
L3,12
L3,13
L3,14
L3,15
L3,16
L3,17
L3,18
L3,19
L3,20
L3,3
L3,4
L3,5
L3,6
L3,7
L3,8
L3,9
L3,10
L3,11
L3,12
L3,13
L3,14
L3,15
L3,16
L3,17
L3,0
L3,1
L3,2
L3,6
L3,7
L3,8
L3,13
L3,14
L3,0
L3,1
L3,2
L3,3
L3,4
L3,5
L3,6
L3,7
L3,8
L3,12
L3,13
L3,14
L3,15
L3,16
L3,17
L3,3
L3,4
L3,5
L3,12
L3,13
L3,14
L3,3
L3,4
L3,5
L3,6
L3,7
L3,8
L3,3
L3,4
L3,5
L3,6
L3,7
L3,8
L3,12
L3,13
L3,14
L3,15
L3,16
L3,17
L3,0
L3,1
L3,2
L3,3
L3,4
L3,5
L3,6
L3,7
L3,8
L3,9
L3,10
L3,11
L3,12
L3,13
L3,14
L3,15
L3,16
L3,17
L3,3
L3,4
L3,5
L3,6
L3,7
L3,8
L3,9
L3,10
L3,11
L3,12
L3,13
L3,14
L3,3
L3,4
L3,5
L3,3
L3,4
L3,5
L3,12
L3,13
L3,14
L3,15
L3,16
L3,17
L3,3
L3,4
L3,5
L3,6
L3,7
L3,8
L3,9
L3,10
L3,11
L3,12
L3,13
L3,14
L3,15
L3,16
L3,17
L3,18
L3,19
L3,20
L3,21
L3,22
L3,23
L3,0
L3,1
L3,2
L3,3
L3,4
L3,5
L3,6
L3,7
L3,8
L3,15
L3,16
L3,17
L3,0
L3,1
L3,2
L3,3
L3,4
L3,5
L3,6
L3,7
L3,8
L3,7
L3,8
L3,15
L3,16
L3,17
L3,0
L3,1
L3,2
L3,3
L3,4
L3,5
L3,6
L3,7
L3,8
L3,9
L3,10
L3,11
L3,12
L3,13
L3,14
L3,3
L3,4
L3,5
L3,6
L3,7
L3,8
L3,12
L3,13
L3,14
L3,21
L3,22
L3,23
L3,0
L3,1
L3,2
L3,3
L3,4
L3,5
L3,6
L3,7
L3,8
L3,12
L3,13
L3,14
L3,3
L3,4
L3,5
L3,6
L3,7
L3,8
L3,9
L3,10
L3,11
L3,12
L3,13
L3,14
L3,0
L3,1
L3,2
L3,3
L3,4
L3,5
L3,6
L3,7
L3,8
L3,21
L3,22
L3,23
L3,0
L3,1
L3,2
L3,3
L3,4
L3,5
L3,6
L3,7
L3,8
L3,12
L3,13
L3,14
L3,0
L3,1
L3,2
L3,3
L3,4
L3,5
L3,6
L3,7
L3,8
L3,0
L3,1
L3,2
L3,3
L3,4
L3,5
L3,6
L3,7
L3,8
L3,12
L3,13
L3,14
L3,0
L3,1
L3,2
L3,3
L3,4
L3,5
L3,6
L3,7
L3,8
L3,3
L3,4
L3,5
L3,6
L3,7
L3,8
L3,9
L3,10
L3,11
L3,15
L3,16
L3,17
L3,0
L3,1
L3,2
L3,3
L3,4
L3,5
L3,6
L3,7
L3,8
L3,12
L3,13
L3,14
L3,0
L3,1
L3,2
L3,3
L3,4
L3,5
L3,6
L3,7
L3,8
L3,0
L3,1
L3,2
L3,3
L3,4
L3,5
L3,6
L3,7
L3,8
L3,12
L3,13
L3,14
L3,18
L3,19
L3,20
L3,21
L3,22
L3,23
L3,0
L3,1
L3,2
L3,3
L3,4
L3,5
L3,6
L3,7
